gene_id	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
121	ENSMUSG00000024799	Tm7sf2	232.847819753595	2.18043238787508	0.194405064194742	11.2159238078843	3.40611099150483e-29	2.57842602056916e-26
46	ENSMUSG00000024665	Fads2	804.475803117735	1.52055931635369	0.155082642140569	9.80483241300103	1.07325008262181e-22	4.06225156272356e-20
379	ENSMUSG00000037071	Scd1	1675.43341767919	1.55071146641197	0.184714801015277	8.39516626652845	4.65235427554757e-17	1.09427162703901e-14
587	ENSMUSG00000060675	Plaat3	1301.73335520038	1.17466749497289	0.14034955007143	8.36958504231077	5.78214862372003e-17	1.09427162703901e-14
21	ENSMUSG00000010663	Fads1	992.94180663244	1.07710740646981	0.131154446363153	8.21251155669868	2.16609203519974e-16	3.2794633412924e-14
309	ENSMUSG00000025203	Scd2	10968.2819164469	1.12951322184888	0.147024776745916	7.68246853930525	1.5605187476056e-14	1.96885448656239e-12
504	ENSMUSG00000049134	Nrap	58.4310108119743	-2.58680250800562	0.41225496420549	-6.27476375691674	3.50165560241437e-10	3.78679041575383e-08
719	ENSMUSG00000075289	Carns1	277.006369993342	1.03030588888527	0.177499308026476	5.80456284782578	6.45341515764307e-09	6.10654409291976e-07
649	ENSMUSG00000067242	Lgi1	215.637005671027	1.01214185811771	0.184658853427355	5.48114449609041	4.22583159524892e-08	3.55439390844826e-06
741	ENSMUSG00000079415	Cntf	137.159198554355	3.22703195150091	0.691333473321264	4.66783697887184	3.04387258599539e-06	0.000153614103173234
291	ENSMUSG00000025172	Ankrd2	14.508637895392	-3.55781655386153	0.77095329973253	-4.61482758436323	3.93421782867406e-06	0.000175188405665074
1180	ENSMUSG00000117896	AA387883	15.818896426703	5.32176645565117	1.15122407520222	4.62270253922231	3.78772684984179e-06	0.000175188405665074
650	ENSMUSG00000067279	Ppp1r3c	41.002372720264	-1.40550719010449	0.3654358308584	-3.84611215272181	0.000120006849122963	0.00394979064287317
373	ENSMUSG00000036278	Macrod1	59.3739221517308	-1.11761332618292	0.316143118385184	-3.53514994060771	0.000407543832979256	0.0128546117318874
13	ENSMUSG00000006457	Actn3	315.130593204924	-2.18547256174011	0.64327984035919	-3.39739010089263	0.00068031908141101	0.0198077517164667
196	ENSMUSG00000024935	Slc1a1	19.414279189227	-1.74349985983358	0.531129493510585	-3.28262670617224	0.00102844755209737	0.0259511598979237
332	ENSMUSG00000032648	Pygm	293.836590614867	-1.9226176531401	0.590003413765912	-3.25865513365133	0.00111941654619483	0.0273354298538544
