gene_id	gene_name	SRR3222409_KO	SRR3222410_KO	SRR3222411_KO	SRR3222412_WT	SRR3222413_WT	SRR3222414_WT
ENSMUSG00000001750	Tcirg1	8.36965626212087	8.47731116410523	8.34494073506045	8.51200251101207	8.34922937063051	8.33204584321899
ENSMUSG00000003053	Cyp2c29	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734
ENSMUSG00000003228	Grk5	8.43295847471293	8.63311084021298	8.59205017221347	8.51200251101207	8.54583062202909	8.62565155479087
ENSMUSG00000003555	Cyp17a1	6.83727858405132	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734
ENSMUSG00000003559	As3mt	7.89082660743633	7.88801393773421	8.07383692677776	7.97717541888985	7.83768157891377	8.02424895196817
ENSMUSG00000003680	Taf6l	7.83490841212798	7.69071976901655	7.72795684657503	7.82788584280479	7.72819051024332	7.65483418254366
ENSMUSG00000004054	Map3k11	9.44364189201499	9.58160851309247	9.45947586840274	9.56805688040624	9.32224031245424	9.3535391456618
ENSMUSG00000004231	Pax2	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734	6.82522789473628	6.82761009188626
ENSMUSG00000005986	Ankrd13d	7.43442825115944	7.33570294006724	7.22907080466996	7.50101568182291	7.54732392784919	7.38564494776553
ENSMUSG00000006270	Vax1	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734
ENSMUSG00000006435	Neurl1a	7.85121857150065	8.0608460472002	7.89125017354595	7.67274894724056	7.58500378290221	7.72212675171455
ENSMUSG00000006456	Rbm14	8.46108692461783	8.66524366551823	8.49913005723016	8.70579770540217	8.57099273903345	8.37614357086057
ENSMUSG00000006457	Actn3	9.08778651346831	9.85902059285772	9.34550008871804	8.34067623371094	7.55691638056771	8.34988318664015
ENSMUSG00000006463	Zdhhc24	7.79285881891131	7.86684178414071	7.82215563377793	7.78341280850424	7.72819051024332	7.75392965440391
ENSMUSG00000006464	Bbs1	7.34845668209767	7.62326753836702	7.56430648825622	7.59556676799289	7.62097382186242	7.46837317541951
ENSMUSG00000007338	Mrpl49	8.68894354225463	8.58894927797102	8.51352189595053	8.69721473802726	8.57099273903345	8.59347002920801
ENSMUSG00000009378	Slc16a12	7.0997321052499	7.02694047235869	7.08743043505694	6.90909222265366	6.92179713828805	7.07260577057312
ENSMUSG00000010095	Slc3a2	9.27852598671895	9.50480735707548	9.42411488146377	9.58594222089262	9.62911791618266	9.79002211887891
ENSMUSG00000010097	Nxf1	9.1865118158533	9.47631373126055	9.45481307345057	9.36310290855682	9.21132288297361	9.02331133958175
ENSMUSG00000010110	Stx5a	9.32230389932832	9.30159441048483	9.37055354952016	9.36136192298003	9.36576276404529	9.20755578936336
ENSMUSG00000010663	Fads1	9.63949919594295	9.74033559603546	9.72361300402521	10.4867642293185	10.5330664714486	10.7521852979511
ENSMUSG00000011752	Pgam1	10.555735338539	10.2569594550216	10.3116050821725	10.2816908249096	10.2919975183779	10.132896533773
ENSMUSG00000012443	Kif11	8.71188623780609	8.81006603287496	8.64034734062759	8.97279545641968	8.95248658883496	8.36745467475034
ENSMUSG00000013662	Atad1	9.18386470204894	9.17852200095206	9.25131079556722	9.25827928524631	9.3500957449935	9.29530582902124
ENSMUSG00000013663	Pten	9.99110659207633	10.0434043605331	10.16316190917	10.1727629408566	10.3139667702051	10.2811956277462
ENSMUSG00000015176	Nolc1	9.03851948127094	9.12747305230472	9.07818470753857	9.06693414618229	9.10475628362494	8.75953674742992
ENSMUSG00000016495	Plgrkt	8.39928973960578	8.1210467356186	8.36128583854662	8.28968712086001	8.22299384601863	8.44346780332608
ENSMUSG00000016496	Cd274	7.04554269140627	7.16418266913408	7.32240821954365	6.69309390772734	6.92179713828805	7.04822193928885
ENSMUSG00000016498	Pdcd1lg2	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734
ENSMUSG00000018820	Zfyve27	8.09418120832345	8.37465741708167	8.25368281864538	8.57683779133206	8.51270825336965	8.57889701246038
ENSMUSG00000018821	Avpi1	7.95834542419743	7.98759663051025	7.7668082247057	7.86440838523802	7.70460802667927	7.89836370657623
ENSMUSG00000018822	Sfrp5	9.17855489880294	9.05101458115182	9.00867372231671	9.38553721055739	9.55471875557556	9.63112595176967
ENSMUSG00000023307	March5	8.95318249411285	8.95308438072993	9.10862574054616	9.00718532124723	9.01448735591981	9.08426657784404
ENSMUSG00000024639	Gnaq	9.05611568342348	9.35606670089262	9.45714643815102	9.70373701535723	9.74047301022809	9.6493341293907
ENSMUSG00000024640	Psat1	10.448190161377	10.4656088917849	10.3430040042712	10.7315090392483	10.8304755663074	10.499966325434
ENSMUSG00000024642	Tle4	7.89082660743633	7.83418789493761	7.94004602305768	7.83407074462203	7.72819051024332	7.86425511051723
ENSMUSG00000024650	Slc22a6	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734
ENSMUSG00000024653	Scgb1a1	6.83727858405132	6.69309390772734	6.69309390772734	6.94242986723758	6.69309390772734	6.82761009188626
ENSMUSG00000024654	Asrgl1	8.88867179496088	8.91876433477016	8.99563665209147	9.25074472016326	9.33623879271546	9.29104991498396
ENSMUSG00000024658	Gm9750	6.69309390772734	6.86029628209775	6.69309390772734	6.81787819900811	6.87989438758328	6.82761009188626
ENSMUSG00000024659	Anxa1	9.67519590458786	9.49632067929044	9.54520855927018	8.98435800364909	8.94186503925223	9.47245668470141
ENSMUSG00000024660	Incenp	8.36965626212087	8.7170527268569	8.37205835560157	8.60185290771622	8.62325920265066	8.16296615666279
ENSMUSG00000024661	Fth1	12.5007980196766	12.4492594263832	12.3614504401195	12.290449639862	12.2460509543932	12.4418757735377
ENSMUSG00000024663	Rab3il1	8.85857500609021	8.72716664918857	8.67014475027652	8.63545262267017	8.67671382032653	8.71754728047754
ENSMUSG00000024664	Fads3	8.8820431533207	9.12375171055306	8.97250927489252	9.06259877889756	9.0785493952436	8.99971579748579
ENSMUSG00000024665	Fads2	9.059025998942	9.41449394322967	9.23221632177859	10.3769630995409	10.3228573822814	10.6109262516122
ENSMUSG00000024666	Tmem138	7.70249206888561	7.65090114042147	7.51439283053638	7.78341280850424	7.69660401443842	7.59118601885856
ENSMUSG00000024667	Tmem216	7.42085942667654	7.3959005397719	7.28693123132364	7.40296575511018	7.44390942851504	7.42234764738652
ENSMUSG00000024668	Sdhaf2	8.85857500609021	8.52555401098128	8.6446473769907	8.64446252057457	8.56027139803849	8.62211632692467
ENSMUSG00000024669	Cd5	6.89691715038443	6.86029628209775	6.99158045856975	6.69309390772734	6.82522789473628	6.69309390772734
ENSMUSG00000024670	Cd6	6.69309390772734	6.92942181245522	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734
ENSMUSG00000024672	Ms4a7	7.65357253641971	7.48542196548252	7.77626605551833	7.59556676799289	7.44390942851504	7.75392965440391
ENSMUSG00000024673	Ms4a1	7.07362543439183	7.21921004677553	7.05833993509113	6.97177358161501	6.98814330505843	6.82761009188626
ENSMUSG00000024675	Ms4a4c	6.83727858405132	7.06613893438547	6.90434364114117	6.94242986723758	6.95708579526237	6.82761009188626
ENSMUSG00000024677	Ms4a6b	7.75779123359979	7.63719948245307	7.6446828733288	7.59556676799289	7.55691638056771	7.73816963729095
ENSMUSG00000024678	Ms4a4d	7.16933416550579	7.19248484467531	7.18655222279839	7.06652016341404	7.16753551133035	7.34672009991863
ENSMUSG00000024679	Ms4a6d	7.75779123359979	7.66438239001078	7.63367549932296	7.56251128870634	7.72039959449549	7.61907195688392
ENSMUSG00000024680	Ms4a2	7.04554269140627	6.86029628209775	6.69309390772734	6.94242986723758	6.92179713828805	6.96183502500662
ENSMUSG00000024681	Ms4a3	6.83727858405132	6.86029628209775	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734
ENSMUSG00000024682	Cblif	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734
ENSMUSG00000024683	Mrpl16	8.25412555423942	8.09565615146018	8.08770553056773	8.10269213374991	8.10764298235315	8.04187357289459
ENSMUSG00000024687	Osbp	8.9018294325761	8.99886604413078	9.00217116371823	9.04511544818006	9.02954600301873	9.08674713095775
ENSMUSG00000024691	Fam111a	8.56753699724283	8.66524366551823	8.7033630171648	8.74786872885131	8.69296603554828	8.41866204962732
ENSMUSG00000024694	Keg1	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734
ENSMUSG00000024695	Zfp91	9.4282160918793	9.69924972014256	9.63623732006282	9.72802319574629	9.81431341141135	9.85398432947078
ENSMUSG00000024696	Lpxn	7.26629505282919	7.26879677627666	7.26832418150057	7.26142363929337	7.26549218942222	7.21146857957656
ENSMUSG00000024697	Gna14	7.39286572223634	7.31424918855216	7.30494214112459	7.17429831353796	7.16753551133035	7.15723618563183
ENSMUSG00000024712	Rfk	8.71188623780609	8.60013644704523	8.7033630171648	8.75337532347162	8.87627189804283	8.84855496257341
ENSMUSG00000024713	Pcsk5	8.22050318650161	8.36793964262832	8.37205835560157	8.50866955247039	8.48249725528738	8.63619801642758
ENSMUSG00000024725	Ostf1	9.82460506189643	9.75455345289934	9.78758194719576	10.1170284832993	10.285946580386	10.4809098151326
ENSMUSG00000024726	Carnmt1	8.81033294098558	8.73720130390264	8.68686235493015	8.94699688283375	9.10711356708959	9.03881273470078
ENSMUSG00000024727	Trpm6	7.16933416550579	7.13399958654891	7.18655222279839	7.12389182698717	7.08839667164651	7.41033874581665
ENSMUSG00000024728	Ms4a19	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734
